id,treatment,startdate_pre,enddate_pre,employment,sector_pre,paffect1_pre,paffect2_pre,paffect3_pre,paffect4_pre,paffect5_pre,paffect6_pre,naffect1_pre,naffect2_pre,naffect3_pre,naffect4_pre,naffect5_pre,naffect6_pre,willingnessjobrec1_pre,willingnessjobrec2_pre,attention1_pre,turnover1_pre,turnover2_pre,turnover3_pre,prosocialimpact1_pre,prosocialimpact2_pre,prosocialimpact3_pre,societalimpact1_pre,societalimpact2_pre,societalimpact3_pre,attention2_pre,beneficiaries_obj,beneficiaries1,beneficiaries2,startdate_post,enddate_post,timebeforetreatment,timeaftertreatment,paffect1_post,paffect2_post,paffect3_post,paffect4_post,paffect5_post,paffect6_post,naffect1_post,naffect2_post,naffect3_post,naffect4_post,naffect5_post,naffect6_post,willingnessjobrec1_post,willingnessjobrec2_post,turnover1_post,turnover2_post,turnover3_post,manipulationcheck,prosocialimpact1_post,prosocialimpact2_post,prosocialimpact3_post,attention1_post,societalimpact1_post,societalimpact2_post,societalimpact3_post,taskvariety1,taskvariety2,taskvariety3,taskvariety4,taskvariety5,taskanalyz1,taskanalyz2,taskanalyz3,taskanalyz4,attention2_post,autonomy1,autonomy2,autonomy3,manager,gender,yearbirth,sector_post,atwork
58,2,2018-05-29T18:02:48Z,2018-05-29T18:08:51Z,1,1,7,7,6,6,5,6,1,1,1,1,1,1,2,5,5,2,5,7,5,7,5,5,5,5,4,4,5,5,2018-05-30T15:28:31Z,2018-05-30T15:53:29Z,15:28:51,15:43:45,5,5,4,5,3,4,2,1,1,1,1,1,1,4,2,5,7,1,6,6,5,4,5,6,5,4,5,4,3,3,4,5,4,3,3,7,7,7,0,1,1967,1,1
59,3,2018-05-29T17:56:33Z,2018-05-29T17:57:59Z,1,1,6,6,6,6,6,6,2,1,1,1,1,1,4,2,5,6,3,3,5,5,5,5,5,5,4,2,5,5,2018-05-30T15:52:45Z,2018-05-30T15:56:29Z,15:52:49,15:54:26,5,5,5,5,5,6,1,1,1,1,1,1,4,2,6,2,3,2,5,6,5,4,5,5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,0,2,1994,1,2
60,4,2018-05-29T17:39:25Z,2018-05-29T17:41:41Z,1,1,6,6,5,5,4,4,2,2,2,4,2,2,4,2,5,3,3,3,5,5,5,3,3,5,4,3,5,6,2018-05-30T15:46:22Z,2018-05-30T15:56:46Z,15:47:46,15:51:46,5,6,4,5,3,4,2,2,2,2,2,2,4,3,5,5,3,3,5,4,3,4,5,5,5,4,4,4,4,4,2,2,2,3,3,3,4,4,0,1,1971,1,1
61,1,2018-05-29T17:38:42Z,2018-05-29T17:41:28Z,1,1,6,5,6,5,5,5,2,2,2,2,1,2,5,1,5,3,1,7,7,7,7,6,6,6,4,2,6,6,2018-05-30T15:54:55Z,2018-05-30T15:58:10Z,15:54:57,15:54:57,5,5,5,6,5,5,2,3,2,2,1,1,5,1,2,2,6,,6,6,6,4,6,6,6,5,5,5,5,5,5,5,5,5,3,6,5,6,0,1,1996,1,2
62,2,2018-05-29T17:46:37Z,2018-05-29T17:50:34Z,1,1,6,6,6,6,6,6,2,1,1,1,1,2,3,3,5,3,2,4,6,6,6,5,5,5,4,3,6,6,2018-05-30T16:11:02Z,2018-05-30T16:16:10Z,16:11:08,16:12:16,5,5,5,4,5,3,2,2,2,2,2,2,3,3,5,5,5,1,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,0,2,1990,1,2
63,4,2018-05-29T17:51:57Z,2018-05-29T17:53:39Z,1,1,6,6,6,6,5,6,1,1,1,2,1,1,4,3,5,6,2,3,6,6,7,5,6,6,4,4,7,7,2018-05-30T16:10:00Z,2018-05-30T16:16:46Z,16:12:00,16:14:31,6,6,5,5,4,6,2,1,2,2,1,1,4,3,6,2,3,3,6,6,7,4,5,5,6,3,4,4,5,3,4,4,3,4,3,6,6,6,0,1,1971,1,1
64,2,2018-05-29T15:20:29Z,2018-05-29T15:38:27Z,1,1,5,5,6,4,4,6,2,2,2,2,1,2,3,3,5,4,3,3,5,5,5,6,6,6,4,8,2,2,2018-05-30T16:07:44Z,2018-05-30T16:17:01Z,16:08:09,16:09:54,6,6,6,5,5,5,2,2,2,2,1,2,3,2,5,3,3,1,6,6,6,4,6,6,6,3,3,3,3,3,4,3,4,3,3,6,6,6,1,2,1991,1,1
65,1,2018-05-29T17:46:51Z,2018-05-29T17:49:22Z,1,1,5,6,6,7,6,5,1,1,1,1,1,1,4,2,5,3,2,6,2,3,2,2,2,2,4,8,1,1,2018-05-30T16:26:21Z,2018-05-30T16:30:27Z,16:26:23,16:26:23,6,6,6,6,6,5,1,1,1,1,1,1,2,4,3,2,6,,2,2,2,4,2,2,2,5,5,5,5,4,4,4,4,5,3,3,3,3,0,1,1995,1,2
66,3,2018-05-29T17:45:24Z,2018-05-29T17:48:30Z,1,1,2,5,3,4,3,6,6,3,5,5,5,6,2,5,5,3,6,5,7,7,7,7,7,7,4,1,7,7,2018-05-30T16:36:26Z,2018-05-30T16:44:10Z,16:36:30,16:39:04,7,6,5,7,6,2,1,1,1,3,1,1,2,4,3,6,4,2,7,7,6,4,7,7,6,3,2,1,1,2,3,3,4,2,3,2,3,2,0,2,1987,1,2
67,3,2018-05-29T17:40:59Z,2018-05-29T17:54:28Z,1,1,5,4,4,4,1,4,1,1,1,1,1,1,2,4,5,7,1,1,4,2,4,2,2,3,4,2,6,6,2018-05-30T16:40:28Z,2018-05-30T16:50:27Z,16:40:50,16:48:35,4,4,4,4,4,4,3,2,4,4,5,3,2,4,7,6,1,2,3,4,5,4,2,2,4,1,1,3,1,2,3,4,2,3,3,5,5,5,0,2,1992,1,1
68,4,2018-05-29T17:45:47Z,2018-05-29T17:55:11Z,1,1,5,5,5,5,3,5,1,1,1,2,1,1,2,4,5,1,7,5,1,1,2,2,2,1,4,9,1,1,2018-05-30T16:40:39Z,2018-05-30T16:50:27Z,16:42:37,16:47:21,5,5,5,3,1,5,1,1,2,1,1,1,2,4,2,6,5,3,3,5,3,4,3,3,3,4,4,4,5,5,4,4,5,5,3,5,6,5,0,2,1982,1,2
69,1,2018-05-29T18:11:16Z,2018-05-29T18:13:39Z,1,1,6,5,6,5,4,5,1,1,2,1,1,1,3,5,5,5,3,6,5,3,3,3,6,5,4,3,4,7,2018-05-30T16:53:32Z,2018-05-30T16:55:45Z,16:53:43,16:53:43,5,3,4,4,4,3,5,3,4,4,6,5,4,2,5,3,4,,3,5,4,4,3,6,4,4,2,4,2,3,4,3,2,2,3,6,3,3,1,2,1990,1,1
70,2,2018-05-29T17:40:15Z,2018-05-29T17:52:48Z,1,1,7,7,7,7,7,7,1,1,1,1,1,1,5,1,5,7,1,1,7,7,7,7,7,7,4,2,7,7,2018-05-30T17:08:22Z,2018-05-30T17:11:16Z,17:08:25,17:09:13,4,2,5,2,2,2,2,5,5,5,3,1,5,1,7,1,1,1,7,7,7,4,7,7,7,2,1,1,2,1,2,4,3,2,3,6,7,7,0,2,1992,1,2
71,3,2018-05-29T17:37:12Z,2018-05-29T17:39:22Z,1,1,6,7,7,6,6,7,2,2,2,2,1,1,4,3,5,3,4,7,6,6,6,2,2,2,4,1,7,7,2018-05-30T17:09:13Z,2018-05-30T17:14:40Z,17:09:17,17:12:16,6,6,6,6,5,6,2,2,2,2,2,1,4,2,4,4,7,2,6,6,5,4,4,4,4,2,2,2,1,1,4,3,3,4,3,5,5,5,0,2,1990,1,2
72,4,2018-05-29T18:21:54Z,2018-05-29T18:27:11Z,1,1,5,5,5,5,3,5,1,1,1,1,1,1,4,2,5,1,1,1,5,5,5,5,5,5,4,7,2,2,2018-05-30T17:32:01Z,2018-05-30T17:36:29Z,17:32:03,17:34:50,5,6,6,6,5,6,1,1,1,1,1,1,4,2,1,1,1,3,5,5,5,4,5,5,5,3,3,3,3,3,4,4,4,4,3,3,3,3,0,1,1982,1,2
73,1,2018-05-29T17:43:56Z,2018-05-29T17:46:37Z,1,1,6,6,6,5,5,5,1,1,1,1,1,1,4,3,5,2,5,7,3,3,5,2,2,2,4,2,5,5,2018-05-30T17:39:10Z,2018-05-30T17:45:50Z,17:39:17,17:39:17,6,6,5,5,5,5,1,1,2,1,1,1,2,4,1,3,6,,3,3,3,4,2,2,2,5,5,5,5,5,4,3,4,4,3,5,5,2,0,2,1992,1,2
74,4,2018-05-29T17:37:55Z,2018-05-29T17:44:33Z,1,1,6,6,5,5,6,4,2,2,2,3,2,1,4,1,5,6,2,2,6,6,6,6,6,6,4,2,7,7,2018-05-30T18:01:18Z,2018-05-30T18:12:01Z,18:01:21,18:02:40,6,6,6,6,6,4,2,1,1,1,1,1,4,1,6,1,1,3,6,5,6,4,5,6,6,3,3,3,3,3,4,3,4,3,3,5,5,5,0,2,1976,1,2
75,3,2018-05-29T16:16:59Z,2018-05-29T16:20:56Z,1,1,5,5,5,5,4,4,1,1,1,1,1,1,4,2,5,6,3,2,6,6,7,5,5,6,4,7,5,5,2018-05-30T18:06:37Z,2018-05-30T18:17:08Z,18:09:00,18:12:47,6,5,6,6,5,5,1,1,1,1,1,1,4,2,6,1,2,2,6,6,7,4,5,5,5,3,3,3,3,4,4,4,4,4,3,6,5,6,0,1,1983,1,2
76,1,2018-05-29T18:33:02Z,2018-05-29T18:35:02Z,1,1,6,6,6,6,5,5,1,1,1,1,1,1,4,1,5,7,2,1,5,5,6,7,7,7,4,7,3,3,2018-05-30T18:26:18Z,2018-05-30T18:27:53Z,18:26:25,18:26:25,7,6,6,7,6,7,1,1,1,1,1,1,4,1,7,1,2,,6,6,7,4,6,6,7,3,3,3,3,3,4,4,4,3,3,7,7,7,0,2,1989,1,2
77,2,2018-05-29T15:38:47Z,2018-05-29T15:42:17Z,1,1,6,6,6,5,4,5,1,1,1,1,1,1,5,1,5,7,1,2,5,5,5,4,4,4,4,2,5,5,2018-05-30T18:24:31Z,2018-05-30T18:35:40Z,18:27:10,18:31:50,6,5,6,4,4,6,1,1,1,1,1,1,4,1,6,1,2,1,4,5,4,4,4,4,4,4,3,3,4,4,5,5,5,5,3,4,4,4,0,2,1980,1,1
78,1,2018-05-29T17:38:23Z,2018-05-29T17:41:32Z,1,1,6,6,6,6,5,6,1,1,1,1,1,1,4,2,5,7,2,2,6,5,5,5,5,6,4,2,6,6,2018-05-30T18:35:41Z,2018-05-30T18:38:43Z,18:35:51,18:35:51,6,6,5,5,5,6,2,2,1,1,1,1,4,2,6,2,2,,5,5,5,4,5,5,5,4,4,4,4,5,4,4,4,4,3,5,5,5,2,2,1977,1,1
79,4,2018-05-29T17:38:58Z,2018-05-29T17:41:16Z,1,1,5,7,6,6,6,7,1,1,1,1,1,1,5,1,5,7,1,2,7,7,6,7,7,7,4,1,7,7,2018-05-30T18:36:29Z,2018-05-30T18:41:52Z,18:36:33,18:39:13,6,7,6,7,5,6,1,1,1,1,1,1,5,1,6,1,2,3,7,7,7,4,7,7,7,4,5,4,3,3,4,3,5,5,3,6,6,6,0,2,1991,1,1
80,2,2018-05-28T21:54:37Z,2018-05-28T22:04:33Z,1,1,7,7,7,4,4,7,1,1,1,1,1,1,5,1,5,7,1,1,7,7,7,7,7,7,4,1,7,7,2018-05-30T18:56:57Z,2018-05-30T19:16:42Z,18:57:42,19:08:18,7,7,7,4,4,7,1,1,1,1,1,1,5,1,7,1,1,1,7,7,7,4,7,7,7,5,5,5,5,5,5,5,5,5,3,5,5,5,0,1,1966,1,2
81,3,2018-05-29T15:15:35Z,2018-05-29T15:19:04Z,1,1,6,5,5,5,5,4,2,2,2,2,2,2,4,2,5,6,3,2,6,5,6,5,6,6,4,2,6,6,2018-05-30T19:48:24Z,2018-05-30T19:53:54Z,19:48:29,19:50:41,7,6,6,6,6,2,1,1,1,2,2,2,4,2,5,2,2,2,6,6,6,4,6,6,6,3,4,2,3,3,4,3,3,4,3,5,5,5,0,1,1986,1,2
82,4,2018-05-29T17:49:10Z,2018-05-29T17:53:30Z,1,1,5,5,5,5,4,5,2,2,2,2,2,2,3,3,5,4,2,2,4,4,5,3,3,3,4,6,3,3,2018-05-30T19:56:50Z,2018-05-30T20:09:50Z,19:56:59,20:06:38,5,5,5,4,4,5,1,1,1,1,1,1,3,3,6,2,2,3,5,6,6,4,4,5,6,4,4,4,3,4,3,4,4,4,3,3,3,3,0,2,1963,3,1
83,2,2018-05-29T18:06:12Z,2018-05-29T18:09:25Z,1,1,3,3,4,4,4,4,4,5,3,4,3,4,2,3,5,4,4,6,4,4,3,3,3,3,4,4,6,6,2018-05-30T20:08:32Z,2018-05-30T20:15:12Z,20:08:44,20:11:32,4,3,4,4,3,4,4,3,4,4,1,4,2,3,3,4,6,2,5,5,4,4,4,3,3,3,2,2,3,2,4,4,3,3,3,4,5,5,0,2,1984,1,2
84,1,2018-05-29T18:45:13Z,2018-05-29T18:46:34Z,1,1,5,5,5,5,5,5,3,3,3,3,3,3,3,3,5,4,3,3,4,4,4,4,4,4,4,1,4,4,2018-05-30T20:41:06Z,2018-05-30T20:42:48Z,20:41:10,20:41:10,5,5,5,5,5,5,3,3,3,3,3,3,3,3,4,3,3,,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,0,1,1993,1,1
85,3,2018-05-29T17:44:48Z,2018-05-29T17:46:39Z,1,1,6,7,6,6,6,6,1,1,1,1,1,1,3,2,5,3,3,3,6,5,6,5,6,5,4,3,5,5,2018-05-30T22:10:59Z,2018-05-30T22:15:49Z,22:11:09,22:13:23,2,7,6,6,4,6,1,1,1,1,1,1,3,3,5,2,1,2,7,7,6,4,6,6,7,4,3,3,4,4,3,4,4,4,3,5,5,6,0,1,1992,1,1
86,1,2018-05-29T15:24:38Z,2018-05-29T15:26:20Z,1,1,5,5,5,5,3,4,2,3,3,2,4,1,4,2,5,7,3,2,7,7,7,5,7,5,4,2,7,7,2018-05-30T22:50:45Z,2018-05-30T22:54:23Z,22:51:10,22:51:10,1,4,3,2,2,4,1,1,4,5,2,2,4,1,7,1,7,,7,7,7,4,6,6,7,2,2,2,2,4,2,3,4,3,3,6,6,6,1,2,1994,1,1
87,2,2018-05-29T18:25:51Z,2018-05-29T18:29:02Z,1,1,5,5,5,5,4,5,2,2,2,2,1,2,3,3,5,6,4,4,6,6,6,5,4,4,4,2,6,6,2018-05-31T01:29:38Z,2018-05-31T01:38:41Z,01:29:41,01:34:41,5,6,5,6,6,5,2,2,2,2,2,2,4,2,5,3,3,2,6,6,6,4,6,5,5,4,4,4,4,4,4,4,4,4,3,5,5,4,2,1,1979,1,1
88,4,2018-05-29T18:58:27Z,2018-05-29T19:02:04Z,1,1,6,6,6,2,1,5,1,1,1,1,1,1,2,4,5,2,2,2,6,6,6,5,5,5,4,8,5,5,2018-05-31T06:33:58Z,2018-05-31T06:39:10Z,06:34:15,06:35:33,6,5,5,6,2,6,1,1,1,1,1,1,2,4,7,2,1,3,6,6,6,4,6,6,6,4,3,3,1,4,4,5,5,5,3,6,6,5,5,1,1978,1,1
89,4,2018-05-29T18:59:25Z,2018-05-29T19:03:13Z,1,1,7,7,5,7,7,7,2,5,5,1,1,1,5,1,5,7,1,7,7,7,7,6,6,6,4,4,7,7,2018-05-31T07:42:47Z,2018-05-31T07:55:08Z,07:42:56,07:49:35,6,4,6,6,6,6,2,2,2,2,1,1,5,1,7,1,5,3,7,7,7,4,7,7,7,2,3,3,2,2,2,1,2,3,3,5,7,7,3,2,1982,1,1
90,3,2018-05-29T23:52:55Z,2018-05-29T23:53:52Z,1,1,5,5,5,5,5,5,3,5,3,5,4,5,4,3,5,5,5,4,3,4,3,3,3,4,4,4,3,3,2018-05-31T13:27:06Z,2018-05-31T13:29:02Z,13:27:09,13:27:44,5,5,3,3,5,5,5,4,3,5,5,4,3,3,4,5,5,2,3,3,4,4,2,3,3,2,3,3,2,3,3,3,2,2,3,4,3,3,0,1,1993,1,1
91,1,2018-05-30T05:34:53Z,2018-05-30T05:36:56Z,1,1,6,7,6,6,5,6,1,1,1,1,1,1,3,4,5,4,4,4,3,3,3,3,3,3,4,4,5,5,2018-05-31T13:26:47Z,2018-05-31T13:29:10Z,13:26:53,13:26:53,4,5,4,4,5,5,3,2,3,1,1,2,3,3,4,4,6,,3,3,3,4,2,2,2,2,2,2,2,3,2,3,2,2,3,6,6,5,0,1,1971,1,1
92,4,2018-05-30T04:06:31Z,2018-05-30T04:07:46Z,1,1,5,4,2,3,3,3,3,5,4,2,4,3,3,2,5,1,4,2,3,2,4,3,3,2,4,3,3,3,2018-05-31T13:29:58Z,2018-05-31T13:32:02Z,13:30:01,13:30:44,4,4,2,5,2,2,2,4,4,3,4,2,2,3,3,2,2,2,3,3,3,4,3,2,2,4,4,2,3,4,4,2,4,2,3,2,3,1,6,2,1989,1,2
93,1,2018-05-30T02:41:26Z,2018-05-30T02:42:40Z,1,1,5,4,3,4,4,4,3,4,4,4,4,3,3,3,5,4,1,3,3,4,4,4,4,3,4,1,4,5,2018-05-31T13:30:55Z,2018-05-31T13:32:21Z,13:30:59,13:30:59,3,5,6,6,3,5,4,4,1,3,5,4,3,2,4,5,4,,5,3,3,4,3,4,4,3,3,3,3,5,3,4,2,2,3,3,4,4,5,2,1993,3,1
94,3,2018-05-29T20:55:12Z,2018-05-29T20:56:46Z,1,1,7,6,6,6,4,5,1,1,1,1,1,1,5,1,5,7,1,1,7,7,7,6,6,6,4,2,6,6,2018-05-31T13:27:15Z,2018-05-31T13:32:36Z,13:27:27,13:30:17,6,7,5,6,4,4,2,2,2,2,1,2,1,5,2,5,6,2,3,5,5,4,2,2,2,5,5,5,5,4,5,5,4,4,3,1,1,1,0,1,1988,3,1
95,2,2018-05-30T04:37:47Z,2018-05-30T04:40:34Z,1,1,2,4,2,3,3,3,5,5,4,5,6,6,3,4,5,5,3,7,4,5,5,5,6,6,4,1,6,7,2018-05-31T13:26:58Z,2018-05-31T13:34:22Z,13:27:14,13:28:37,2,2,1,2,1,1,6,6,6,6,4,7,3,2,5,4,6,1,5,5,5,4,5,5,6,3,2,3,3,4,4,3,2,3,3,2,2,2,0,2,1991,1,1
96,2,2018-05-30T00:45:42Z,2018-05-30T00:47:02Z,1,1,6,6,6,6,5,6,2,1,1,1,1,1,3,4,5,7,1,1,7,7,7,7,7,7,4,2,7,7,2018-05-31T13:30:52Z,2018-05-31T13:35:05Z,13:31:00,13:33:11,6,6,5,6,4,6,1,1,1,1,1,1,3,4,7,1,1,1,7,7,7,4,6,5,6,3,4,3,2,4,4,3,4,4,3,7,7,7,1,1,1989,1,1
97,3,2018-05-30T02:03:57Z,2018-05-30T02:06:37Z,1,1,3,3,3,3,1,3,6,2,5,6,5,2,2,3,5,6,6,6,6,6,6,4,5,6,4,1,6,6,2018-05-31T13:33:29Z,2018-05-31T13:38:35Z,13:33:38,13:35:56,2,3,2,4,2,2,7,7,2,7,7,6,4,2,6,6,6,2,6,6,6,4,4,6,5,3,3,3,4,4,3,2,3,3,3,6,6,6,0,2,1977,1,1
98,1,2018-05-29T21:08:19Z,2018-05-29T21:10:31Z,1,1,5,5,5,5,5,5,2,2,2,2,2,2,4,1,5,6,2,2,6,6,6,6,6,6,4,4,6,6,2018-05-31T13:38:50Z,2018-05-31T13:41:18Z,13:39:06,13:39:06,5,5,5,5,5,5,1,1,1,1,1,1,4,2,6,2,2,,6,6,6,4,6,6,6,3,3,3,3,3,4,4,4,4,3,5,5,5,1,2,1990,1,1
99,3,2018-05-29T20:48:22Z,2018-05-29T20:50:53Z,1,1,4,5,4,4,4,2,4,5,4,5,3,2,2,4,5,1,7,7,4,5,4,5,5,4,4,8,2,2,2018-05-31T13:40:16Z,2018-05-31T13:44:59Z,13:40:20,13:42:55,5,5,5,4,4,4,4,2,2,2,2,1,4,3,3,4,6,2,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5,3,5,5,5,0,1,1990,1,1
100,4,2018-05-30T03:33:16Z,2018-05-30T03:37:03Z,1,1,3,6,5,5,5,2,1,2,3,5,1,2,4,2,5,7,2,4,5,5,5,5,5,5,4,1,6,6,2018-05-31T13:33:45Z,2018-05-31T13:45:17Z,13:33:48,13:41:08,6,6,6,5,5,6,1,1,1,1,1,1,4,4,6,5,6,3,6,6,6,4,6,6,6,3,4,4,4,4,4,4,4,4,3,4,6,4,6,2,1977,1,1
101,3,2018-05-30T00:06:29Z,2018-05-30T00:09:39Z,1,1,3,2,2,3,2,2,5,6,6,2,2,5,5,2,5,7,2,2,3,3,6,2,2,4,4,4,3,6,2018-05-31T13:29:05Z,2018-05-31T13:46:02Z,13:31:33,13:39:03,5,5,6,5,4,5,1,1,1,1,1,1,4,1,7,2,2,2,3,3,5,4,3,3,5,3,3,3,3,4,3,4,2,2,3,6,7,6,0,1,1977,1,2
102,2,2018-05-29T23:53:51Z,2018-05-29T23:55:23Z,1,1,6,6,6,5,6,6,3,3,2,2,2,2,1,1,5,6,5,6,5,6,5,6,5,4,4,2,6,5,2018-05-31T13:35:39Z,2018-05-31T13:46:05Z,13:35:46,13:43:13,6,4,5,4,5,4,6,3,4,2,3,2,2,2,2,6,6,1,6,4,5,4,6,6,6,4,3,5,4,3,4,4,5,5,3,6,7,7,6,1,1991,1,1
103,1,2018-05-29T21:14:57Z,2018-05-29T21:30:44Z,1,1,6,6,6,6,7,6,1,1,1,1,1,1,4,2,5,4,1,1,6,6,6,6,6,6,4,7,6,4,2018-05-31T13:28:39Z,2018-05-31T13:46:24Z,13:28:56,13:28:56,7,7,7,7,7,7,1,1,1,1,1,1,5,1,7,1,1,,6,6,6,4,6,6,6,3,3,3,4,4,4,4,4,4,3,6,6,6,1,1,1985,3,1
104,1,2018-05-30T00:53:48Z,2018-05-30T00:56:28Z,1,1,6,2,2,3,3,2,6,6,6,6,6,6,2,4,5,2,7,7,2,2,2,2,1,1,4,1,6,6,2018-05-31T13:46:42Z,2018-05-31T13:49:13Z,13:46:45,13:46:45,3,3,4,3,2,3,3,4,5,1,1,3,2,4,2,6,6,,6,6,5,4,5,5,6,2,4,2,2,2,2,2,1,2,3,5,5,5,1,1,1985,1,2
105,2,2018-05-30T02:26:06Z,2018-05-30T02:30:51Z,1,1,6,6,6,6,5,5,2,1,2,2,1,1,5,1,5,7,1,2,3,5,6,3,2,6,4,3,6,6,2018-05-31T13:41:44Z,2018-05-31T13:57:45Z,13:44:08,13:50:40,6,5,6,5,5,4,2,1,1,1,1,1,5,1,7,1,2,1,6,6,6,4,5,5,5,2,4,3,3,2,4,3,4,4,3,7,7,7,2,2,1981,1,2
106,4,2018-05-30T02:08:10Z,2018-05-30T02:10:55Z,1,1,4,4,4,4,4,4,1,1,1,1,1,1,5,1,5,7,1,1,7,7,7,7,7,7,4,1,7,7,2018-05-31T13:53:04Z,2018-05-31T14:00:47Z,13:53:13,13:56:56,6,6,6,6,6,6,1,1,1,1,1,1,5,1,7,1,1,3,7,7,7,4,7,7,7,5,5,5,5,5,5,5,5,5,3,7,4,6,0,2,1987,1,2
107,2,2018-05-30T02:55:04Z,2018-05-30T02:57:39Z,1,1,6,5,3,6,5,3,2,2,5,2,2,2,4,2,5,4,6,5,7,7,7,6,7,7,4,2,7,7,2018-05-31T13:59:37Z,2018-05-31T14:03:43Z,13:59:41,14:01:12,5,6,6,5,5,7,1,2,2,2,1,2,4,2,6,5,5,1,7,7,7,4,6,7,6,3,4,2,3,3,4,5,3,5,3,6,4,5,0,1,1984,1,2
108,1,2018-05-30T12:02:35Z,2018-05-30T12:07:40Z,1,1,3,3,3,4,4,4,5,6,6,2,5,5,3,4,5,7,1,1,6,6,6,6,6,5,4,6,5,5,2018-05-31T13:59:13Z,2018-05-31T14:05:36Z,13:59:30,13:59:30,5,6,5,4,5,3,3,2,5,2,2,4,2,4,7,3,1,,6,6,6,4,7,7,7,2,2,2,3,1,5,4,5,3,3,2,5,2,0,1,1980,1,2
109,4,2018-05-30T02:58:11Z,2018-05-30T03:00:19Z,1,1,5,5,5,5,5,5,3,3,3,3,3,3,4,2,5,7,2,1,7,7,7,7,7,7,4,1,7,7,2018-05-31T13:59:05Z,2018-05-31T14:05:49Z,13:59:44,14:01:35,5,5,5,5,5,5,3,2,2,2,2,2,5,2,7,1,1,3,7,7,7,4,7,7,7,3,2,2,4,3,4,4,3,3,3,4,5,5,0,1,1994,1,2
110,3,2018-05-29T21:16:11Z,2018-05-29T21:18:44Z,1,1,6,5,5,3,7,6,4,7,6,6,4,5,3,4,5,6,5,7,5,5,7,4,6,4,4,2,4,6,2018-05-31T14:01:42Z,2018-05-31T14:08:46Z,14:04:08,14:05:46,6,5,5,3,6,5,6,1,3,5,5,4,4,1,5,1,1,1,6,5,5,4,7,7,5,4,4,3,3,3,4,4,5,3,3,7,5,6,0,1,1992,1,2
111,2,2018-05-29T21:02:19Z,2018-05-29T21:03:21Z,1,1,7,7,6,7,7,6,2,3,1,2,2,2,4,2,5,6,6,7,7,7,5,6,6,5,4,2,6,6,2018-05-31T14:10:07Z,2018-05-31T14:12:44Z,14:10:11,14:11:25,6,7,1,5,6,6,2,2,2,1,1,1,5,4,5,3,5,1,6,7,5,4,7,6,6,4,5,5,3,4,5,4,3,4,3,6,7,7,0,1,1996,1,2
112,1,2018-05-29T23:24:30Z,2018-05-29T23:26:45Z,1,1,6,6,6,6,6,6,1,1,1,1,1,1,4,1,5,4,1,7,7,7,7,4,5,5,4,1,5,5,2018-05-31T14:08:42Z,2018-05-31T14:13:03Z,14:08:53,14:08:53,5,5,5,5,5,5,4,3,3,3,4,4,4,1,4,1,5,,7,7,6,4,4,4,4,4,4,4,3,3,3,4,3,4,5,5,5,4,0,1,1995,1,1
113,4,2018-05-30T05:12:56Z,2018-05-30T05:15:31Z,1,1,4,5,5,4,3,6,3,2,3,2,1,1,4,3,5,6,3,2,4,3,5,3,4,5,4,8,2,2,2018-05-31T14:09:02Z,2018-05-31T14:15:30Z,14:09:26,14:12:33,6,6,6,6,5,7,2,1,2,1,1,1,4,1,7,2,1,3,5,5,5,4,6,5,6,3,3,2,3,4,4,5,4,5,3,5,6,5,1,2,1995,1,1
114,3,2018-05-29T20:44:32Z,2018-05-29T20:47:00Z,1,1,6,6,6,6,6,7,2,2,2,2,2,1,4,2,5,6,3,3,6,6,6,6,5,5,4,4,6,6,2018-05-31T14:09:42Z,2018-05-31T14:16:34Z,14:09:44,14:13:41,6,7,6,7,5,6,1,1,1,1,1,1,4,2,6,2,3,2,6,6,6,4,6,6,6,2,2,3,2,2,3,4,3,4,3,6,6,5,1,1,1987,1,1
115,1,2018-05-29T20:46:57Z,2018-05-29T20:49:09Z,1,1,4,4,4,4,3,5,3,3,4,4,1,1,4,2,5,6,2,7,6,6,6,6,6,6,4,7,5,5,2018-05-31T14:15:56Z,2018-05-31T14:18:30Z,14:16:01,14:16:01,4,5,4,4,3,4,4,2,1,3,5,1,4,2,5,5,1,,7,7,7,4,5,5,5,4,4,4,4,5,5,5,5,5,3,6,6,6,0,2,1974,1,2
116,4,2018-05-29T22:24:46Z,2018-05-29T22:27:15Z,1,1,5,5,5,5,4,5,2,2,2,4,2,2,4,2,5,3,5,5,5,5,5,5,5,5,4,3,5,5,2018-05-31T14:17:55Z,2018-05-31T14:23:43Z,14:18:14,14:21:17,6,6,6,5,5,5,1,1,1,1,1,1,4,2,4,5,5,3,6,6,6,4,6,6,6,3,3,3,3,2,2,3,2,2,3,6,5,5,0,1,1991,2,2
117,2,2018-05-29T22:20:10Z,2018-05-29T22:22:52Z,1,1,5,6,5,5,4,6,2,2,3,2,1,1,5,1,5,7,1,1,6,6,6,5,5,5,4,3,6,6,2018-05-31T14:20:41Z,2018-05-31T14:29:03Z,14:21:37,14:25:35,6,6,6,5,4,5,2,2,2,2,1,2,5,2,7,1,1,2,6,6,6,4,6,6,6,3,3,3,3,3,4,5,4,4,3,6,6,6,0,1,1977,1,2
